_id,Model year,Make,Model,Vehicle class,Motor (kW),Transmission,Fuel type,City (kWh/100 km),Highway (kWh/100 km),Combined (kWh/100 km),City (Le/100 km),Highway (Le/100 km),Combined (Le/100 km),Range (km),CO2 emissions (g/km),CO2 rating,Smog rating,Recharge time (h)
8592,2024,Rivian,"R1S Quad Large (20"" Wheels)",Sport utility vehicle: Standard,650,A1,B,30.5,35.1,32.5,3.4,3.9,3.7,465,0,10,10,13
8593,2024,Rivian,"R1S All-Terrain Quad Large (20"" Wheels)",Sport utility vehicle: Standard,650,A1,B,32.0,35.0,33.4,3.6,3.9,3.7,441,0,10,10,13
8594,2024,Rivian,"R1S Quad Large (21"" Wheels)",Sport utility vehicle: Standard,650,A1,B,27.8,31.5,29.5,3.1,3.5,3.3,517,0,10,10,13
8595,2024,Rivian,"R1S Quad Large (22"" Wheels)",Sport utility vehicle: Standard,650,A1,B,28.7,33.1,30.7,3.2,3.7,3.4,488,0,10,10,13
8596,2024,Rivian,"R1T All-Terrain Dual Large (20"" Wheels)",Pickup truck: Standard,418,A1,B,29.0,32.5,30.6,3.3,3.6,3.4,494,0,10,10,13
8597,2024,Rivian,"R1T AT Performance Dual Large (20"" Wheels)",Pickup truck: Standard,496,A1,B,29.0,32.5,30.6,3.3,3.6,3.4,494,0,10,10,13
8598,2024,Rivian,"R1T Dual Large (21"" Wheels)",Pickup truck: Standard,418,A1,B,25.6,28.4,26.9,2.9,3.2,3.0,566,0,10,10,13
8599,2024,Rivian,"R1T Performance Dual Large (21"" Wheels)",Pickup truck: Standard,496,A1,B,25.6,28.4,26.9,2.9,3.2,3.0,566,0,10,10,13
8600,2024,Rivian,"R1T Dual Large (22"" Wheels)",Pickup truck: Standard,418,A1,B,26.1,29.5,27.6,2.9,3.3,3.1,549,0,10,10,13
8601,2024,Rivian,"R1T Performance Dual Large (22"" Wheels)",Pickup truck: Standard,496,A1,B,26.1,29.5,27.6,2.9,3.3,3.1,549,0,10,10,13
8602,2024,Rivian,"R1T All-Terrain Dual Max (20"" Wheels)",Pickup truck: Standard,418,A1,B,26.7,31.1,28.7,3.0,3.5,3.2,571,0,10,10,14.5
8603,2024,Rivian,"R1T All-Terrain Performance Dual Max (20"" Wheels)",Pickup truck: Standard,496,A1,B,26.7,31.1,28.7,3.0,3.5,3.2,571,0,10,10,14.5
8604,2024,Rivian,"R1T Dual Max (21"" Wheels)",Pickup truck: Standard,418,A1,B,23.0,27.0,24.8,2.6,3.0,2.8,661,0,10,10,14.5
8605,2024,Rivian,"R1T Performance Dual Max (21"" Wheels)",Pickup truck: Standard,496,A1,B,23.0,27.0,24.8,2.6,3.0,2.8,661,0,10,10,14.5
8606,2024,Rivian,"R1T Dual Max (22"" Wheels)",Pickup truck: Standard,418,A1,B,25.0,29.3,26.9,2.8,3.3,3.0,612,0,10,10,14.5
8607,2024,Rivian,"R1T Performance Dual Max (22"" Wheels)",Pickup truck: Standard,496,A1,B,25.0,29.3,26.9,2.8,3.3,3.0,612,0,10,10,14.5
8608,2024,Rivian,"R1T Quad Large (20"" Wheels)",Pickup truck: Standard,650,A1,B,30.5,35.1,32.5,3.4,3.9,3.7,465,0,10,10,13
8609,2024,Rivian,"R1T All-Terrain Quad Large (20"" Wheels)",Pickup truck: Standard,650,A1,B,32.0,35.0,33.4,3.6,3.9,3.7,441,0,10,10,13
